ndaysafteronboarding,activitydays,android,label
2651,14,1,0
15,7,0,0
1562,27,1,0
2637,15,0,0
2999,22,0,0
424,25,1,0
2760,12,0,0
2524,0,1,1
50,11,0,0
1554,17,1,0
87,22,0,0
2937,7,0,0
501,21,0,0
1607,16,0,1
1084,16,1,0
112,13,1,0
2465,16,0,1
1732,27,1,0
2938,22,0,0
1940,24,0,0
2225,11,0,0
1848,20,0,0
470,29,0,0
655,24,1,0
2601,23,0,0
2567,20,1,0
921,30,1,0
1219,27,0,0
189,9,0,1
552,3,0,1
694,26,1,0
2794,8,0,0
1713,25,1,0
3291,28,0,0
3365,14,1,0
2257,5,1,0
2193,11,0,0
1195,31,0,0
1756,8,0,0
1830,6,1,0
1796,23,1,0
1347,30,0,0
1619,19,0,0
2384,10,0,0
2285,16,1,1
997,28,0,0
1189,29,0,0
2868,22,0,0
1722,8,0,0
783,19,0,0
1285,29,1,0
1980,22,1,0
1584,18,0,0
484,9,0,0
199,29,1,0
1115,31,0,0
960,24,1,0
1260,5,1,0
2826,4,0,0
3479,28,0,0
359,1,0,1
2482,2,0,1
1031,0,0,0
2231,21,0,0
2279,24,1,1
710,26,1,0
2298,29,1,0
2515,16,0,0
677,7,0,0
1714,15,1,0
2228,17,1,0
3240,10,1,0
1305,7,0,0
314,0,0,0
943,4,1,0
3016,25,1,0
1461,6,1,0
2503,28,1,0
1267,24,0,0
2922,11,0,1
546,16,0,0
3251,19,1,0
2929,12,1,1
343,25,1,0
2680,10,0,0
2053,26,0,0
3023,27,1,0
3012,10,0,0
3323,14,0,0
2254,3,0,1
1258,27,1,0
508,12,0,0
2551,15,1,0
208,11,0,0
2389,17,0,0
3244,12,0,0
2507,25,0,0
3202,23,0,0
81,25,1,0
1324,2,0,0
350,25,0,0
2306,13,1,0
843,24,1,0
1613,13,0,0
400,23,1,0
2992,22,1,0
1307,29,0,0
3095,11,0,0
2137,9,0,0
1666,26,1,0
712,22,1,0
2774,30,0,0
2298,6,1,1
603,30,0,1
2463,21,1,0
3217,13,1,0
961,30,0,0
1265,18,0,0
1379,8,0,1
2060,24,0,0
3498,16,1,0
189,30,0,0
3110,23,1,0
1026,28,0,0
1070,6,0,1
3477,11,0,0
745,28,0,1
1364,29,1,0
149,20,0,0
1256,12,0,0
3306,10,1,0
321,3,1,1
777,6,1,0
1532,6,1,0
2047,24,1,0
1364,14,0,0
110,28,0,0
3414,23,0,0
780,27,0,0
1208,21,0,0
707,12,1,0
2806,21,0,0
805,28,0,0
2208,11,0,0
853,10,0,0
1757,28,0,0
3287,27,0,0
745,27,0,0
332,29,0,0
1905,25,1,0
2057,14,0,0
2951,13,0,0
1118,7,0,1
3387,11,1,0
2937,11,0,1
605,31,0,0
2616,7,0,0
171,4,0,1
1638,8,1,0
3178,3,0,0
1828,12,1,1
1413,17,0,0
2266,5,0,0
1987,18,0,0
1998,17,0,0
1507,11,1,1
2036,26,0,0
872,18,0,0
2118,22,0,0
3384,29,0,0
2012,21,0,1
462,10,1,0
558,13,0,0
2585,26,0,0
1502,21,0,0
489,15,0,0
520,27,1,0
3264,21,1,0
2891,26,0,0
1179,31,0,0
311,11,1,0
901,24,0,0
1990,10,0,0
2962,7,1,0
2125,22,1,0
2761,16,0,0
1065,22,1,0
1823,4,0,1
1064,17,0,0
3150,1,0,1
2747,27,0,0
672,8,0,0
1399,24,1,0
2395,28,0,0
230,6,0,1
2959,29,1,0
1787,5,0,0
2523,3,1,1
1848,5,1,1
596,5,0,0
1158,22,1,1
3491,13,1,0
858,28,0,0
2359,9,0,0
3236,17,1,0
164,28,0,1
1910,28,1,0
76,25,0,0
187,3,1,0
1331,11,0,1
3026,15,1,0
58,30,0,0
2227,4,0,1
1013,2,1,1
