drives,totalsessions,ndaysafteronboarding,totalnavigationsfav1,totalnavigationsfav2,activitydays,kmperdrivingday,label
95,135.5229263,2651,0,0,14,382.3936023,0
40,67.58922127,15,322,7,7,304.5303744,0
68,168.2470201,1562,166,5,27,219.4556671,0
103,279.5444373,2637,0,0,15,81.93079077,0
35,176.0728446,2999,0,0,22,394.6026234,0
46,183.5320177,424,0,26,25,132.5854882,0
41,109.8818549,2760,64,0,12,209.3590597,0
66,401.3518086,2524,54,24,0,0.0,1
22,95.2921595,50,193,0,11,218.8829771,0
25,41.53837224,1554,61,19,17,93.34994454,0
98,170.9254705,87,0,6,22,428.3270701,0
42,144.7141026,2937,306,0,7,228.8423263,0
119,168.8281397,501,77,28,21,103.3474675,0
60,118.8088122,1607,254,92,16,165.8398076,1
3,50.32821361,1084,63,23,16,227.4207173,0
106,160.2585518,112,199,28,13,536.5527698,0
5,215.8764605,2465,412,0,16,115.6288093,1
46,60.0376594,1732,429,95,27,68.73529062,0
37,98.15654833,2938,372,26,22,237.7709381,0
34,62.74575283,1940,313,12,24,233.4113214,0
101,346.3382111,2225,149,0,11,333.3051244,0
78,190.9769901,1848,35,28,20,115.7182226,0
91,123.8217255,470,0,86,29,131.6700468,0
91,115.0010192,655,14,11,24,75.93537633,0
17,183.5959214,2601,325,15,23,198.9185916,0
132,309.913971,2567,293,76,20,274.8942078,0
22,132.0307891,921,272,7,30,26.33916543,0
25,63.26935458,1219,7,0,27,47.50336612,0
105,309.5828548,189,11,7,9,1071.311405,1
20,24.75851394,552,65,14,3,521.4067303,1
51,113.8218829,694,274,42,26,182.2089165,0
7,36.67792977,2794,274,18,8,141.2646191,0
57,76.46614419,1713,0,52,25,85.29187126,0
4,62.62085256,3291,65,0,28,217.2275411,0
10,21.82921966,3365,26,0,14,414.3840786,0
33,176.6673157,2257,86,9,5,623.3470003,0
35,125.7867257,2193,304,0,11,39.07046538,0
42,68.3160358,1195,132,9,31,135.1082134,0
35,236.7279571,1756,29,53,8,182.7424213,0
3,113.8187866,1830,233,0,6,0.0,0
12,478.4156826,1796,69,35,23,315.0583992,0
121,270.5629064,1347,0,0,30,68.89919804,0
21,66.56667195,1619,147,11,19,197.4957438,0
30,132.3810261,2384,7,0,10,621.4985218,0
51,327.5779296,2285,381,0,16,329.4369688,1
20,126.0890646,997,36,71,28,383.5279141,0
81,210.6642815,1189,0,68,29,258.0948902,0
67,134.0383111,2868,177,55,22,121.0189042,0
28,73.91682979,1722,293,17,8,929.0374347,0
50,133.1041552,783,201,0,19,203.7704478,0
54,320.3440758,1285,0,77,29,128.7906165,0
84,209.2083212,1980,0,0,22,298.0796337,0
93,436.0601833,1584,283,62,18,278.8939676,0
16,40.74102349,484,373,61,9,403.1756883,0
17,130.7650795,199,75,28,29,192.7586955,0
18,446.7149825,1115,228,0,31,191.9309391,0
16,20.26166523,960,279,58,24,219.3099461,0
47,72.55234081,1260,230,65,5,911.1040508,0
105,286.8490491,2826,168,0,4,0.0,0
94,156.839706,3479,286,17,28,67.73901231,0
95,192.6382907,359,142,0,1,0.0,1
99,295.5242311,2482,167,0,2,0.0,1
91,236.2949809,1031,34,65,0,0.0,0
63,121.4956353,2231,0,9,21,134.8476148,0
39,132.1688328,2279,194,0,24,109.4260198,1
30,53.99957919,710,2,30,26,283.0842398,0
112,321.7948003,2298,237,58,29,54.05209017,0
55,120.0854852,2515,0,0,16,188.651267,0
23,56.53640154,677,309,0,7,1010.492137,0
47,90.50690136,1714,0,0,15,122.0356479,0
102,113.3790556,2228,14,0,17,216.7293723,0
45,116.6071611,3240,14,79,10,293.7208298,0
15,85.47546123,1305,25,10,7,389.6836604,0
32,52.76008722,314,0,0,0,0.0,0
19,55.70118982,943,13,0,4,308.5197543,0
64,245.6239413,3016,0,92,25,222.8784174,0
34,174.1668226,1461,0,82,6,1159.629261,0
155,234.4007225,2503,205,40,28,347.7435839,0
14,403.4809775,1267,14,3,24,112.3938947,0
55,129.2595571,2922,310,15,11,367.021509,1
122,269.0140577,546,0,38,16,644.6129773,0
25,130.3460437,3251,67,29,19,642.6812094,0
80,131.9129271,2929,37,0,12,472.8474193,1
15,157.9590826,343,53,44,25,108.1495672,0
118,167.2459681,2680,12,0,10,886.6053666,0
129,198.6097411,2053,62,39,26,113.0787123,0
6,65.07366594,3023,140,0,27,76.59171056,0
27,256.7593388,3012,136,72,10,952.2433102,0
32,102.9483312,3323,154,101,14,266.5838305,0
82,91.52727513,2254,0,0,3,590.7304553,1
193,268.643805,1258,88,9,27,186.59087,0
113,242.1291202,508,0,0,12,376.0023689,0
29,490.3315821,2551,120,73,15,421.5961055,0
26,222.12931,208,55,10,11,351.4023539,0
43,169.9292346,2389,0,24,17,318.0482192,0
40,421.6059953,3244,30,0,12,562.0618278,0
72,187.9245034,2507,43,28,25,38.83574757,0
41,94.97103389,3202,180,0,23,78.20804229,0
32,142.4369117,81,172,0,25,206.0615928,0
30,66.8912126,1324,221,0,2,0.0,0
6,58.86116655,350,0,13,25,91.92152235,0
188,280.4192673,2306,0,77,13,479.1068861,0
13,62.99429299,843,35,7,24,88.43946882,0
78,423.9110606,1613,127,0,13,503.5613545,0
154,309.6783197,400,83,7,23,81.3399365,0
14,88.08790771,2992,123,53,22,148.3990835,0
43,171.9048024,1307,50,9,29,116.6589454,0
114,166.2799211,3095,111,15,11,822.2949222,0
113,185.1143893,2137,137,28,9,366.0616039,0
175,309.0933633,1666,0,49,26,79.65588239,0
9,63.37880655,712,81,26,22,108.2969741,0
63,94.58117968,2774,59,0,30,160.0959027,0
99,152.5567286,2298,17,0,6,0.0,1
101,162.4519603,603,74,0,30,55.68179068,1
16,53.4550273,2463,411,89,21,179.3562709,0
21,150.2961319,3217,163,17,13,171.4793605,0
11,125.4712179,961,256,31,30,63.19977664,0
11,60.39582231,1265,160,66,18,406.7678072,0
127,483.2623817,1379,90,99,8,794.9585385,1
51,164.2653247,2060,0,0,24,126.996954,0
147,343.9452249,3498,34,0,16,316.3684571,0
34,185.6691488,189,71,0,30,147.7451269,0
47,57.56448616,3110,11,24,23,75.47194983,0
13,148.67747,1026,0,0,28,483.8885829,0
122,247.3249005,1070,187,0,6,1065.580291,1
40,177.9586432,3477,16,0,11,300.4470794,0
191,406.1782678,745,0,11,28,195.9784286,1
64,94.32008442,1364,374,75,29,23.54390268,0
17,64.41973416,149,33,0,20,520.2373651,0
54,230.4582451,1256,41,64,12,630.674807,0
13,186.9794651,3306,184,32,10,90.56810673,0
5,138.8705748,321,0,0,3,0.0,1
46,271.9233666,777,95,33,6,560.838303,0
67,96.30479738,1532,125,0,6,491.4811532,0
175,221.6576984,2047,102,51,24,137.670857,0
30,109.9488004,1364,0,0,14,296.6642929,0
87,191.936044,110,0,20,28,260.346053,0
147,231.6026323,3414,133,53,23,365.0571937,0
23,66.27163423,780,61,0,27,100.6529456,0
53,77.9959639,1208,175,0,21,119.9033651,0
51,181.5508049,707,1,0,12,537.4527436,0
161,215.9992155,2806,86,0,21,372.8442858,0
108,304.7897104,805,38,0,28,537.4898283,0
106,199.4857666,2208,0,0,11,116.6030893,0
104,164.3212072,853,133,0,10,287.1615782,0
12,227.863193,1757,34,0,28,262.0623089,0
149,311.2870759,3287,165,0,27,173.204411,0
41,436.8746889,745,93,0,27,141.7455267,0
59,162.9841356,332,1,0,29,118.7996882,0
17,146.017828,1905,106,0,25,69.80694813,0
37,63.34400869,2057,0,14,14,77.64643264,0
6,176.803129,2951,73,56,13,689.9617019,0
12,111.2465431,1118,61,0,7,789.48445,1
73,103.89582,3387,266,19,11,777.2719994,0
13,178.3434574,2937,108,0,11,155.2657248,1
110,136.9216388,605,364,0,31,63.93301481,0
192,375.7182036,2616,13,0,7,906.2158319,0
13,209.924477,171,57,0,4,751.5942838,1
9,94.15769837,1638,37,0,8,760.132288,0
45,78.08356425,3178,14,19,3,1173.623989,0
42,67.71359618,1828,0,24,12,596.6782173,1
66,103.92497,1413,0,0,17,135.0611181,0
8,70.68795123,2266,43,31,5,177.8071797,0
16,50.39101573,1987,157,0,18,87.68082577,0
29,89.7006354,1998,293,86,17,556.8876288,0
